corpus,arity_k,encoding,n_verts,n_edges,signed_entries,polarity,build_median_ms,build_p95_ms
canonical,,hypergraph,23,10,32,true,0.2358,0.2449
canonical,,star,33,32,32,true,0.2358,0.2449
canonical,,clique,23,40,0,false,0.2358,0.2449
canonical,,binary,23,40,0,false,0.2358,0.2449
arity_sweep,2,hypergraph,2,1,2,true,,
arity_sweep,2,star,3,2,2,true,,
arity_sweep,2,clique,2,1,0,false,,
arity_sweep,2,binary,2,1,0,false,,
arity_sweep,3,hypergraph,3,1,3,true,,
arity_sweep,3,star,4,3,3,true,,
arity_sweep,3,clique,3,3,0,false,,
arity_sweep,3,binary,3,3,0,false,,
arity_sweep,4,hypergraph,4,1,4,true,,
arity_sweep,4,star,5,4,4,true,,
arity_sweep,4,clique,4,6,0,false,,
arity_sweep,4,binary,4,6,0,false,,
arity_sweep,5,hypergraph,5,1,5,true,,
arity_sweep,5,star,6,5,5,true,,
arity_sweep,5,clique,5,10,0,false,,
arity_sweep,5,binary,5,10,0,false,,
arity_sweep,6,hypergraph,6,1,6,true,,
arity_sweep,6,star,7,6,6,true,,
arity_sweep,6,clique,6,15,0,false,,
arity_sweep,6,binary,6,15,0,false,,
arity_sweep,8,hypergraph,8,1,8,true,,
arity_sweep,8,star,9,8,8,true,,
arity_sweep,8,clique,8,28,0,false,,
arity_sweep,8,binary,8,28,0,false,,
arity_sweep,10,hypergraph,10,1,10,true,,
arity_sweep,10,star,11,10,10,true,,
arity_sweep,10,clique,10,45,0,false,,
arity_sweep,10,binary,10,45,0,false,,
